provinsi,persentase
ACEH,14.23
SUMATERA UTARA,7.99
SUMATERA BARAT,5.97
RIAU,6.67
JAMBI,7.10
SUMATERA SELATAN,10.97
BENGKULU,13.56
LAMPUNG,10.69
"KEP, BANGKA BELITUNG",4.55
"KEP, RIAU",5.37
DKI JAKARTA,4.30
JAWA BARAT,7.46
JAWA TENGAH,10.47
DI YOGYAKARTA,10.83
JAWA TIMUR,9.79
BANTEN,5.84
BALI,4.00
NUSA TENGGARA BARAT,12.91
NUSA TENGGARA TIMUR,19.48
KALIMANTAN BARAT,6.32
KALIMANTAN TENGAH,5.17
KALIMANTAN SELATAN,4.11
KALIMANTAN TIMUR,5.78
KALIMANTAN UTARA,6.32
SULAWESI UTARA,7.25
SULAWESI TENGAH,11.77
SULAWESI SELATAN,8.06
SULAWESI TENGGARA,11.21
GORONTALO,14.57
SULAWESI BARAT,11.21
MALUKU,16.05
MALUKU UTARA,6.32
PAPUA BARAT,21.66
PAPUA BARAT DAYA,18.13
PAPUA,17.26
PAPUA SELATAN,17.44
PAPUA TENGAH,29.76
PAPUA PEGUNUNGAN,32.97
